;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
1917;3185;B11X.PE0147;REP/REP;Zone IDF 0 à 50 km;Traité;01/01/2024;23 Boulevard de la Madeleine, Rue Duphot, 75001 PARIS 01;48,8592;2,3417
1918;3145;B11X.pe0140;REP/REP;Zone IDF 0 à 50 km;Traité;01/02/2023;20 rue Louis Legrand, 75002 PARIS 02;6,31265;-75,58116
1921;1008;S19X.PO0132;IEP/IEP;Zone IDF 0 à 50 km;Archivé;01/02/2018;23 Rue de Sévigné, 75003 PARIS 03;-0,66667;10,3
1922;937;B11X.PE0096;REP/REP;0 à 50 km;Archivé;15/04/2018;17 BOULEVARD MORLAND, 75004 PARIS 04;48,8601;2,3507
1928;2780;Z32X.PO0174;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;14/03/2022;Quai Saint-Michel,  , Gare Saint Michel, 75005 PARIS 05;48,8448;2,3471
1929;3985;B11X.PE0144;REP/REP;Zone IDF 0 à 50 km;Traité;15/01/2024;73 rue de Vaugirard, face angle rue de l'Abbé Grégoire, 75006 PARIS 06;48,85341;2,3488
1933;610;222097;BZ/GCI;Zone IDF 0 à 50 km;Archivé;10/05/2017;2 Avenue de Suffren , Stade Emile Antoire, 75015 Paris;32,7673;-96,7776
1934;3697;B11X.PE0148;REP/REP;Zone IDF 0 à 50 km;Traité;02/02/2024;13 15 rue Cognacq-Jay, 75007 PARIS 07;-1,30673;12,41924
1936;2083;B11X.PE0122;REP/REP;0 à 50 km;Archivé;29/07/2020;128, rue Faubourg Saint-Honoré  , 75008 PARIS 08;43,2;-80,38333
1942;3667;B11X.PE0145;REP/REP;Zone IDF 0 à 50 km;Traité;05/02/2024;54 rue la Boetie, 14 Rue de la Baume, 75008 PARIS 08;33,2074;-97,1163
1943;639;PE0075;REP/REP;Zone IDF 0 à 50 km;Archivé;19/07/2016;57/59 Boulevard de Malesherbes, 75008 Paris;33,2074;-97,1163
1951;2804;B11X.PE0137;REP/REP;0 à 50 km;Traité;18/10/2021;39 rue du Colisée, 75008 PARIS 08;43,2;-80,38333
1952;2057;Z41X.PC0106;CPI/CPI;0 à 50 km;Archivé;20/05/2021;38 Cours Albert Ier, 75008 PARIS 08;43,2;-80,38333
1954;2159;B11X.PE0126;REP/REP;0 à 50 km;Archivé;09/09/2020;39, Avenue Trudaine, 75009 PARIS 09;19,7;-72,35
1959;1726;B11X.PE0113;REP/REP;Zone IDF 0 à 50 km;Archivé;13/01/2020;13 rue Chaussée d'Antin, 75009 PARIS 09;19,7;-72,35
1962;2470;B11X.PE0136;REP/REP;0 à 50 km;Traité;08/11/2021;51 Boulevard Haussmann, 75008 PARIS 08;43,2;-80,38333
1966;1675;BZNX.221164;BZ/BAT;0 à 50 km;Archivé;22/07/2019;95 Rue du Faubourg du Temple , 75010 PARIS 10;1,55278;15,64056
